species,gtdb_id,description,gram_stain,cell_shape,motility,Alkaline phosphatase,Esterase,Esterase Lipase,Lipase,Leucine arylamidase,Valine arylamidase,Cystine arylamidase,Trypsin,alpha- Chymotrypsin,Acid phosphatase,Naphthol-AS-BI-phosphohydrolase,alpha- Galactosidase,beta- Galactosidase,beta- Glucuronidase,alpha- Glucosidase,beta- Glucosidase,N-acetyl-beta- glucosaminidase,alpha- Mannosidase,alpha- Fucosidase,GLY,ERY,DARA,LARA,RIB,DXYL,LXYL,ADO,MDX,GAL,GLU,FRU,MNE,SBE,RHA,DUL,INO,MAN,SOR,MDM,MDG,NAG,AMY,ARB,ESC,SAL,CEL,MAL,LAC,MEL,SAC,TRE,INU,MLZ,RAF,AMD,GLYG,XLT,GEN,TUR,LYX,TAG,DFUC,LFUC,DARL,LARL,GNT,2KG,5KG,NIT,PYZ,PYRA,PAL,beta GUR,beta GAL,alpha GLU,beta NAG,URE,GEL,XYL,NO3,TRP,GLU_ Ferm,ADH Arg,PNPG,GLU_ Assim,ARA,CAP,ADI,MLT,CIT,PAC,OX,ONPG,LDC Lys,ODC,H2S,TDA Trp,IND,VP,Sor,NO2,N2,MTE,LTE,MbGa,MaGa,MbGu,PLE,FUC,MTL,HBG,3MDG,SAT,MUC,LTAT,DTAT,MTAT,DMLT,LMLT,CATE,TATE,TTE,GRT,GAT,TRY,PAT,pOBE,QAT,GTE,mOBE,BAT,PPAT,CMT,TGE,BET,PCE,ABT,HIN,LAT,CYT,HIS,SUC,FUM,GRE,GYT,AVT,ETN,TTN,GLN,ITA,3OBU,APT,GTT,PRO,DALA,LALA,SER,MNT,PROP,TYR,2KT,MAC,CAT,Q,MOB,OF-O,OF-F,genome_path
Armatimonas rosea,GCF_014202505.1,Armatimonas rosea YO-36 is a mesophilic bacterium that was isolated from rhizoplane of reed Phragmites australis inhabiting a mesophilic freshwater lake.,,,,+,+/-,+/-,+/-,+,+/-,+/-,-,-,+/-,-,-,-,-,-,-,-,-,-,,,,,-,,,,,,-,,,,,,,-,,,,,,,-,,,-,-,,-,,,,,,-,,,,,,,,,,,,,-,-,-,+,-,+,-,-,-,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/014/202/505/GCF_014202505.1_genomic.fna.gz
Gulosibacter bifidus,GCF_001570925.1,"Gulosibacter bifidus S7-7 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from soil.","['positive', 'positive']","[None, None]","['no', 'no']",+,-,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/570/925/GCF_001570925.1_genomic.fna.gz
Rahnella woolbedingensis,GCF_003602095.1,"Rahnella woolbedingensis ALN24 is a mesophilic, Gram-negative bacterium that was isolated from Alnus glutinosa.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,+,,,+,,,+,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,-,,+,-,+,-,+,+,+,-,-,+,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/602/095/GCF_003602095.1_genomic.fna.gz
Cohnella thermotolerans,GCF_000429825.1,"Cohnella thermotolerans DSM 17683 is an aerobe, spore-forming, mesophilic bacterium that was isolated from sample of industrial starch production.","['positive', 'positive']","[None, None]","['no', None]",-,+,-,-,+,-,-,-,-,+,+,+,+,-,+,+,+,-,-,+,-,,,+,,,-,,+,+,+,+,-,+,-,+,+,+,,+,-,,,+,,+,+,+,+,+,+,,-,+,,,+,+,+,+,-,,,+,-,+,+,+,,,,,,,,,,,+,,,,,,,+,-,,,-,-,,,,,,,,,,,,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/429/825/GCF_000429825.1_genomic.fna.gz
Actinomyces bowdenii,GCF_017592395.1,"Actinomyces bowdenii M1327/95/1 is a microaerophile, mesophilic, Gram-positive animal pathogen that was isolated from dog, abscess under the mandible.","['positive', 'positive']","[None, None]","['no', 'no']",-,-,-,-,+,+,-,-,-,+,+,+,+,-,+,+,-,-,-,+,-,-,-,+,-,-,+/-,-,+,+,+,+,-,-,-,+,-,-,-,+/-,-,-,+,+,+,+/-,+,+,+,+,+,-,+,+,+/-,+/-,-,+,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/017/592/395/GCF_017592395.1_genomic.fna.gz
Tritonibacter multivorans,GCF_001458415.1,"Tritonibacter multivorans MD5 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from surface seawater.",negative,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,+,-,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/458/415/GCF_001458415.1_genomic.fna.gz
Comamonas kerstersii,GCF_008801935.1,"Comamonas kerstersii AFG1 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from human sample.","['negative', 'negative']","[None, None]","['yes', 'yes']",-,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,-,+,+,-,-,-,-,-,-,-,,-,"['-', '+']",,,"['-', '+']",,+,"['-', '+']",-,-,+,+,,-,-,,,-,+,-,-,-,,,-,-,"['-', '+']",-,-,,,,,,,,,-,-,-,+,-,-,-,-,-,-,-,+,+,"['-', '+']",-,+,,,,,,,,,,,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,+,+,+,+,+,-,-,+,-,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/008/801/935/GCF_008801935.1_genomic.fna.gz
Idiomarina abyssalis,GCF_900116625.1,"Idiomarina abyssalis DSM 15222 is a mesophilic, Gram-negative, motile bacterium that was isolated from seawater.",negative,rod-shaped,yes,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/116/625/GCF_900116625.1_genomic.fna.gz
Nocardia anaemiae,GCF_001612725.1,"Nocardia anaemiae DSM 44821 is an obligate aerobe, spore-forming, mesophilic bacterium that builds an aerial mycelium and was isolated from human.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,+/-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,+/-,"['-', '+']",+/-,-,+,-,-,"['-', '+']",+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,,-,-,+,-,-,+,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/612/725/GCF_001612725.1_genomic.fna.gz
Enterovibrio nigricans,GCF_900167155.1,"Enterovibrio nigricans DSM 22720 is a facultative anaerobe, mesophilic, Gram-negative bacterium that was isolated from head kidney of Sparus aurata.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+/-,,,,,-,,,,+/-,,,+,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,+,-,+,+,-,+/-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/167/155/GCF_900167155.1_genomic.fna.gz
Yoonia vestfoldensis,GCF_000382265.1,"Yoonia vestfoldensis R-9477 is an aerobe, psychrophilic, Gram-negative bacterium that was isolated from microbial mat.","['negative', 'negative']","[None, None]","['no', 'no']",+,+,+,-,+,-,-,+,-,+,+,-,+,-,+,-,-,-,-,,,,,,,,,,,,,+/-,,,,,+,,,,-,,,-,,,+,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,-,-,-,-,+,+/-,-,-,-,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/382/265/GCF_000382265.1_genomic.fna.gz
Bifidobacterium stellenboschense,GCF_000741785.1,"Bifidobacterium stellenboschense AFB23-3 is an anaerobe, mesophilic bacterium that was isolated from feces of tamarin .",,,,,,,,,,,,,,,,,,,,,,,-,-,-,+,+,+,-,-,-,+,+,+,-,+/-,-,-,-,+,+,+/-,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,+/-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/741/785/GCF_000741785.1_genomic.fna.gz
Lacticaseibacillus casei,GCF_000829055.1,"Lacticaseibacillus casei 03 is a facultative anaerobe, Gram-positive, rod-shaped bacterium that was isolated from cheese.",positive,rod-shaped,no,+,+,+,+,+,+,+,-,+,+,+,-,+,-,-,+,-,-,-,,,,,-,,,,,,,,,,,,,+,,,,,,,+,,,+,+,,+,,,,,,-,,,,,,,,,,,,,+,-,+,+,-,+,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/829/055/GCF_000829055.1_genomic.fna.gz
Micromonospora narathiwatensis,GCF_900089605.1,"Micromonospora narathiwatensis BTG4-1 is an aerobe, spore-forming, mesophilic bacterium that was isolated from peat swamp forest soil.",,,,-,+,+,-,+/-,-,-,+,+,+/-,+,-,+,-,+,-,+/-,-,-,,,,,-,,,,,,-,,,,,,,-,,,,,,,-,,,-,-,,-,,,,,,-,,,,,,,,,,,,,-,-,-,-,-,-,+,-,-,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/089/605/GCF_900089605.1_genomic.fna.gz
Lysobacter capsici,GCF_014779555.2,"Lysobacter capsici YC5194 is a facultative anaerobe, mesophilic, Gram-negative bacterium that was isolated from rhizosphere of pepper.","['negative', 'negative']","[None, None]","['no', None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,-,,,,+,,,+,,,+,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,+,,-,-,-,-,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/014/779/555/GCF_014779555.2_genomic.fna.gz
Pseudoclavibacter helvolus,GCF_014191305.1,"Pseudoclavibacter helvolus DSM 20419 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from butter.","['positive', 'positive']","[None, None]","['no', 'no']",,,,,,,,,,,,,,,,,,,,+/-,-,-,-,-,-,-,-,-,-,+/-,+/-,+/-,-,-,-,+/-,+/-,+/-,-,-,+/-,-,-,-,-,+/-,+/-,+/-,-,"['-', '+/-']",+/-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,,-,+,-,-,+,+,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/014/191/305/GCF_014191305.1_genomic.fna.gz
Weissella cibaria,GCF_000193635.1,"Weissella cibaria II-I-59 is a microaerophile, mesophilic, rod-shaped bacterium that was isolated from chili bo.","[None, 'positive', 'positive']","[None, None, None]","['no', None, 'no']",+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/193/635/GCF_000193635.1_genomic.fna.gz
Legionella quateirensis,GCF_001467955.1,"Legionella quateirensis 1335 is a microaerophile, mesophilic, Gram-negative bacterium of the family Legionellaceae.",negative,rod-shaped,no,+,-,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/467/955/GCF_001467955.1_genomic.fna.gz
Streptomyces ambofaciens,GCF_001267885.1,"Streptomyces ambofaciens DSM 40053 is a spore-forming, mesophilic bacterium that produces antibiotic compounds and was isolated from soil.",,,,+,+,+,+,+,+,-,-,-,+,+,-,+,-,+,+,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,+,,,,,,,+,,,+,+,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/267/885/GCF_001267885.1_genomic.fna.gz
Streptomyces novaecaesareae,GCF_000716875.1,"Streptomyces novaecaesareae DSM 40358 is an aerobe, mesophilic bacterium that was isolated from soil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,-,,,,,,,-,,,+,-,-,-,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/716/875/GCF_000716875.1_genomic.fna.gz
Microbacterium lacticum,GCF_006716815.1,"Microbacterium lacticum 5 is an obligate aerobe, mesophilic, Gram-positive bacterium of the family Microbacteriaceae.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,+,-,,,"['+', '-']",,,-,,+,+,+,+,-,-,-,-,-,-,,-,+,,,"['-', '+']",,+,"['-', '+']","['-', '+']",-,-,-,,-,-,,-,-,-,-,-,-,,,-,-,+,-,-,-,+,+,-,+,+,+,+,"['+', '-']","['+', '-']",-,,,,-,,,-,-,,,"['-', '+']",-,,+,-,-,-,-,-,-,,,,+,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/006/716/815/GCF_006716815.1_genomic.fna.gz
Pseudomonas kilonensis,GCF_001269885.1,"Pseudomonas kilonensis 520-20 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from agricultural soil.",negative,rod-shaped,yes,-,+,+,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,-,-,+,+,+,,-,-,,,-,,-,-,-,-,+,+,,-,-,,,-,-,-,-,-,,,+,-,+,-,-,,,,,,,,,,,+,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,-,+,+,+,-,+,+,-,+,+,+,-,+,+,-,+,-,+,+,+,+,+,+,+,+,+,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/269/885/GCF_001269885.1_genomic.fna.gz
Pectobacterium wasabiae,GCF_001742185.1,"Pectobacterium wasabiae SR91 is a facultative anaerobe, mesophilic, Gram-negative plant pathogen that was isolated from Eutrema wasabi.",negative,rod-shaped,yes,+,+,-,-,+,-,-,+,-,+,+,-,-,-,-,+,-,-,-,+,-,-,+,+,+,-,-,-,+,+,+,+,-,+,-,+,+,-,-,-,+,"['+', '+/-']",+,+,+,+,"['+/-', '-']",-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,,,,,,,,,-,+,+,,,,-,,,+,-,,,+,-,-,-,-,-,-,-,-,+,-,,,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/742/185/GCF_001742185.1_genomic.fna.gz
Paenibacillus anaericanus,GCF_003994475.1,"Paenibacillus anaericanus MH21 is a facultative anaerobe, spore-forming, mesophilic bacterium that was isolated from earthworm gut.","['negative', None]","[None, None]","['yes', 'no']",-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/994/475/GCF_003994475.1_genomic.fna.gz
Micromonospora rhizosphaerae,GCF_900091465.1,"Micromonospora rhizosphaerae 211018 is an aerobe, spore-forming, mesophilic bacterium that was isolated from mangrove Excocaria agallocha rhizhosphere soil.",positive,,,+,+,+,-,+,+,-,+,-,+,+,+,+,-,+,+,+,-,-,,,,,-,,,,,,-,,,,,,,-,,,,,,,+,,,-,-,,-,,,,,,-,,,,,,,,,,,,,-,-,-,+,-,+,+,+,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/091/465/GCF_900091465.1_genomic.fna.gz
Empedobacter brevis,GCF_000382425.1,"Empedobacter brevis CL 88-76 is an obligate aerobe, mesophilic bacterium that was isolated from Human bronchial secretion.",negative,rod-shaped,no,+,+,+,-,+,+,+,+,+,+,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/382/425/GCF_000382425.1_genomic.fna.gz
Legionella micdadei,GCF_000953635.1,"Legionella micdadei TATLOCK is a microaerophile, mesophilic, Gram-negative bacterium that was isolated from human blood.",negative,rod-shaped,yes,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/953/635/GCF_000953635.1_genomic.fna.gz
Asanoa hainanensis,GCF_900188485.1,"Asanoa hainanensis 210121 is an aerobe, spore-forming, mesophilic bacterium that was isolated from rhizhosphere soil of Acrostichum speciosum.",,,,+,+,+,-,+,+/-,+/-,+/-,+/-,+,+,+,+,-,+,+,+,+,-,,,,,-,,,,,,-,,,,,,,-,,,,,,,-,,,-,-,,-,,,,,,-,,,,,,,,,,,,,-,-,-,+,-,+,+,-,-,+/-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/188/485/GCF_900188485.1_genomic.fna.gz
Abiotrophia defectiva,GCF_000160075.2,"Abiotrophia defectiva DSM 9849 is an anaerobe, mesophilic, Gram-positive bacterium that was isolated from blood of bacterial endocarditis patient.",positive,coccus-shaped,no,+,+,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,+/-,+/-,+/-,-,-,-,-,+/-,+,+,+,-,-,-,-,-,-,-,+/-,+,-,-,+,-,-,+,+/-,+/-,+,+,-,+/-,+,+,+,-,-,+,-,-,-,+,-,-,+/-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/160/075/GCF_000160075.2_genomic.fna.gz
Agromyces luteolus,GCF_009729855.1,"Agromyces luteolus 8 is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from soil, rhizospere of Sonneratia alba.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,"['+/-', '-']",-,-,+/-,-,+/-,-,-,-,"['+/-', '-']","['-', '+/-', '+']","['+/-', '-']","['+/-', '-']",-,"['+', '-']",-,-,"['-', '+/-']",-,-,-,-,-,-,"['+/-', '+']",-,-,"['-', '+/-']",-,"['+/-', '-']","['-', '+/-']",-,-,"['+/-', '-']","['+/-', '-']",+/-,"['-', '+/-']",-,-,"['+/-', '-']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/009/729/855/GCF_009729855.1_genomic.fna.gz
Cellulomonas phragmiteti,GCF_016862775.1,Cellulomonas phragmiteti KB23 is a mesophilic bacterium that was isolated from reed periphyton in a shallow soda pond.,,,,-,+/-,+/-,-,+,+/-,+/-,-,+/-,-,+/-,+,+,-,+,+,+,-,-,,,,,-,,,,,,+,,,,,,,+,,,,,,,+,,,+,-,,+,,,,,,+,,,,,,,,,,,,,-,-,-,-,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/016/862/775/GCF_016862775.1_genomic.fna.gz
