species,gtdb_id,family,description,gram_stain,cell_shape,motility,Alkaline phosphatase,Esterase,Esterase Lipase,Lipase,Leucine arylamidase,Valine arylamidase,Cystine arylamidase,Trypsin,alpha- Chymotrypsin,Acid phosphatase,Naphthol-AS-BI-phosphohydrolase,alpha- Galactosidase,beta- Galactosidase,beta- Glucuronidase,alpha- Glucosidase,beta- Glucosidase,N-acetyl-beta- glucosaminidase,alpha- Mannosidase,alpha- Fucosidase,GLY,ERY,DARA,LARA,RIB,DXYL,LXYL,ADO,MDX,GAL,GLU,FRU,MNE,SBE,RHA,DUL,INO,MAN,SOR,MDM,MDG,NAG,AMY,ARB,ESC,SAL,CEL,MAL,LAC,MEL,SAC,TRE,INU,MLZ,RAF,AMD,GLYG,XLT,GEN,TUR,LYX,TAG,DFUC,LFUC,DARL,LARL,GNT,2KG,5KG,NIT,PYZ,PYRA,PAL,beta GUR,beta GAL,alpha GLU,beta NAG,URE,GEL,XYL,NO3,TRP,GLU_ Ferm,ADH Arg,PNPG,GLU_ Assim,ARA,CAP,ADI,MLT,CIT,PAC,OX,ONPG,LDC Lys,ODC,H2S,TDA Trp,IND,VP,Sor,NO2,N2,MTE,LTE,MbGa,MaGa,MbGu,PLE,FUC,MTL,HBG,3MDG,SAT,MUC,LTAT,DTAT,MTAT,DMLT,LMLT,CATE,TATE,TTE,GRT,GAT,TRY,PAT,pOBE,QAT,GTE,mOBE,BAT,PPAT,CMT,TGE,BET,PCE,ABT,HIN,LAT,CYT,HIS,SUC,FUM,GRE,GYT,AVT,ETN,TTN,GLN,ITA,3OBU,APT,GTT,PRO,DALA,LALA,SER,MNT,PROP,TYR,2KT,MAC,CAT,Q,MOB,OF-O,OF-F,genome_path
Priestia flexa,GCF_001591565.1,Bacillaceae,"Priestia flexa 131 is an obligate aerobe, spore-forming, mesophilic bacterium of the family Bacillaceae.",positive,rod-shaped,yes,+,+,+,-,+,-,-,-,+,+,+,+,+,-,+,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,+,"['+/-', '+']",-,-,-,+,+,-,-,"['+/-', '+']",+,+/-,-,"['-', '+']",+,"['+/-', '+']",+,+,+,+,+,-,"['+/-', '+']",+,+,+,-,"['+/-', '+']",+,-,-,-,-,+,-,+,-,-,,,,,,,,,,,-,,,,,,,-,-,,,+,-,,,,,,,,,,,,+,+,-,+,+,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,-,+,-,-,-,+,-,+,+,+,+,+,+,+,-,+,-,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/591/565/GCF_001591565.1_genomic.fna.gz
Enterococcus cecorum,GCF_000407565.1,Enterococcaceae,"Enterococcus cecorum A60 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from caecum of chicken.",positive,coccus-shaped,no,+,+,+,-,+,-,-,-,-,+,+,+,+,+,+,+,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/407/565/GCF_000407565.1_genomic.fna.gz
Peribacillus simplex,GCF_002243645.1,Bacillaceae,"Peribacillus simplex NRS-960 is an obligate aerobe, spore-forming, mesophilic bacterium that was isolated from Soil.",positive,rod-shaped,no,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['-', '+']",-,-,-,"['-', '+']",-,-,-,-,-,"['-', '+']",+,-,-,"['-', '+']",-,"['-', '+']","['-', '+']",+,-,-,"['-', '+']",-,-,"['-', '+']",-,"['-', '+']","['-', '+']",-,-,-,"['-', '+']",-,-,-,-,-,-,-,"['+', '-']",-,-,+,+,-,"['+', '-']",+,"['-', '+']",-,,,,,,,,,,,+,,,,,,,-,-,,,+,+,,,,,,,,,,,,+,-,-,-,-,-,-,-,-,-,+,+,+,-,-,+,+,-,+,-,+,-,-,+,-,+,-,+,+,+,+,-,-,+,+,-,+,+,-,+,+,+,-,+,+,-,+,-,+,+,+,+,+,+,+,-,-,+,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/243/645/GCF_002243645.1_genomic.fna.gz
Enterococcus malodoratus,GCF_000407185.1,Enterococcaceae,"Enterococcus malodoratus 6 is a microaerophile, spore-forming, mesophilic bacterium that was isolated from gouda cheese.",positive,coccus-shaped,no,-,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,"['+', '-']",-,+,+,+,+,"['+', '-']","['+', '-']",-,-,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,-,-,"['+', '-']",-,-,"['+/-', '-']","['+', '-']","['+', '-']",-,+,-,-,+,+,"['+', '-']","['-', '+']","['+/-', '-']",,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/407/185/GCF_000407185.1_genomic.fna.gz
Pseudomonas lundensis,GCF_001042985.1,Pseudomonadaceae,"Pseudomonas lundensis 573 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from prepacked beef.",negative,rod-shaped,yes,+,+,+,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,,,-,,,-,,-,+,+,+,-,-,-,+,-,-,,-,-,,,-,,-,-,-,-,-,+,,-,-,,,-,-,-,-,-,,,-,-,+,+,-,,,,,,,,,,,-,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,+,+,+,+,+,+,+,+,+,-,-,-,+,+,+,+,+,+,-,-,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/042/985/GCF_001042985.1_genomic.fna.gz
Vagococcus fessus,GCF_003987565.1,Enterococcaceae,"Vagococcus fessus M2661/98/1 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from seal liver and kidney .",positive,coccus-shaped,no,+,+,+,-,+,-,-,-,+,+,-,-,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/987/565/GCF_003987565.1_genomic.fna.gz
Kosakonia radicincitans,GCF_000280495.2,Enterobacteriaceae,"Kosakonia radicincitans D5/23 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from phyllosphere of winter wheat.",negative,rod-shaped,yes,+,-,-,-,+,-,-,-,-,+,+,-,+,-,-,+,+,-,-,+,-,-,+,+,+,-,-,-,+,+,+,+,-,+,+,-,+,+,-,+/-,+,+/-,+,+,+,+,+,+,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/280/495/GCF_000280495.2_genomic.fna.gz
Staphylococcus coagulans,GCF_002901995.1,Staphylococcaceae,"Staphylococcus coagulans GA211 is an aerobe, mesophilic, Gram-positive human pathogen that was isolated from external auditory meatus of dog with external ear otitis.",positive,coccus-shaped,no,,,,,,,,,,,,,,,,,,,,+,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/901/995/GCF_002901995.1_genomic.fna.gz
Staphylococcus carnosus,GCF_900458435.1,Staphylococcaceae,"Staphylococcus carnosus SK 11 is a facultative anaerobe, mesophilic, Gram-positive bacterium that was isolated from fermented fish sauce .",positive,coccus-shaped,no,-,+,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,-,"['+/-', '+']",-,-,-,"['-', '+']",-,-,-,-,-,+,+,"['-', '+']",-,-,-,-,"['-', '+']","['-', '+']",-,-,-,-,-,-,-,-,-,-,"['-', '+']",-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['-', '+']",-,-,,,,,,,,,,,-,,,,,,,+,-,,,-,-,,,,,,,,,,,,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/458/435/GCF_900458435.1_genomic.fna.gz
Staphylococcus carnosus,GCF_900458435.1,Staphylococcaceae,"Staphylococcus carnosus 361 is a facultative anaerobe, mesophilic, Gram-positive bacterium that was isolated from dry sausage.",positive,coccus-shaped,no,+,+,+,-,-,-,-,-,-,+,+,-,+,-,+,-,-,-,-,"['+/-', '+']","['-', '+']",-,-,"['+/-', '+']",-,-,-,-,"['+/-', '-']",+,+,+,-,-,-,-,+,+,-,-,"['+/-', '+']",-,-,-,-,-,-,"['+/-', '+']",-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['-', '+']",-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/458/435/GCF_900458435.1_genomic.fna.gz
Shimwellia blattae,GCF_000262305.1,Enterobacteriaceae,"Shimwellia blattae 9005-74 is a facultative anaerobe, mesophilic, Gram-negative bacterium that was isolated from hindgut of cockroach.",negative,rod-shaped,no,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,+,+,+,-,"['+/-', '-']",-,+,+,+,+,-,+,-,"['-', '+/-']","['-', '+']","['+', '-']",-,-,"['-', '+']",-,+/-,-,-,"['+/-', '-']",+,-,-,-,+,-,-,-,-,-,-,-,-,"['+/-', '-']",-,-,+,"['+/-', '-']",-,+,+,+,,,,,,,,,-,-,+,,,,+,,,+,-,,,+,+,+,-,+,+,-,-,-,-,-,,,+,-,-,-,+,-,-,-,-,-,+,+,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,+,+,-,+,-,-,+,-,-,+,-,-,+,+,-,+,+,-,-,+,-,-,+,+,+,-,+,+,-,+,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/262/305/GCF_000262305.1_genomic.fna.gz
Kluyvera georgiana,GCF_001654985.1,Enterobacteriaceae,"Kluyvera georgiana DSM 9409 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from human sputum.",negative,rod-shaped,yes,+,-,+,-,+,+,-,+,-,+,+,+,+,-,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,+,+,+,-,"['+', '-']",+,-,+,-,+,+,+,+/-,+,+,+,+,+,+,+,+,+,-,-,+,-,-,-,+,"['+/-', '+']",-,+,-,-,-,-,+,+,+,,,,,,,,,,,+,,,,,,,+,-,,,+,-,,,,,,,,,,,,+,+,+,+,+,+,-,+,-,-,+,+,-,-,-,-,+,-,-,-,+,+,-,+,-,+,-,+,-,+,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,+,-,+,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/654/985/GCF_001654985.1_genomic.fna.gz
Peribacillus psychrosaccharolyticus,GCF_000305495.1,Bacillaceae,"Peribacillus psychrosaccharolyticus T25B is an obligate aerobe, spore-forming, psychrophilic bacterium that was isolated from soil or lowland marsh.",positive,rod-shaped,yes,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,"['-', '+']",-,+,"['+', '-']",+,-,-,-,-,+,-,"['+', '-']",-,-,-,"['+/-', '-']",+,-,-,-,"['+', '-']",+,+,+,+,+,+,"['+', '-']","['+/-', '-']","['+/-', '-']",+,-,"['+/-', '-']","['+/-', '-']",-,+/-,-,+,-,-,-,-,-,-,-,"['+', '-']",-,"['+/-', '-']",,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/305/495/GCF_000305495.1_genomic.fna.gz
Staphylococcus epidermidis,GCF_006742205.1,Staphylococcaceae,"Staphylococcus epidermidis Fussel is a facultative anaerobe, mesophilic, Gram-positive human pathogen that was isolated from nose.",positive,coccus-shaped,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/006/742/205/GCF_006742205.1_genomic.fna.gz
Helicobacter pullorum,GCF_017979475.1,Helicobacteraceae,"Helicobacter pullorum H152 is a microaerophile, mesophilic, Gram-negative human pathogen of the family Helicobacteraceae.",negative,rod-shaped,yes,-,+,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/017/979/475/GCF_017979475.1_genomic.fna.gz
Citrobacter amalonaticus,GCF_018323885.1,Enterobacteriaceae,"Citrobacter amalonaticus CCUG 4860 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from Human feces.",negative,rod-shaped,yes,+,-,-,-,+,+,-,+,-,+,+,-,+,-,+,-,-,-,-,,,,,,,,,,,+,,,,+,,-,+,,,,,+,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,+,,,+,,,,+,,-,+,-,+,-,-,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/018/323/885/GCF_018323885.1_genomic.fna.gz
Pseudomonas extremorientalis,GCF_001870465.1,Pseudomonadaceae,"Pseudomonas extremorientalis FEB RAS is an aerobe, mesophilic, Gram-negative bacterium that was isolated from drinking water reservoir.",negative,rod-shaped,yes,+,+,-,-,+,+,-,+,+,-,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,+,,,,,+,,,,+,,,-,,,-,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,+,,-,-,-,+,-,+,+,+,+,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/870/465/GCF_001870465.1_genomic.fna.gz
Pseudomonas fragi,GCF_900105835.1,Pseudomonadaceae,"Pseudomonas fragi DSM 3456 is an obligate aerobe, mesophilic, Gram-negative bacterium of the family Pseudomonadaceae.",negative,rod-shaped,yes,-,+,+,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,,,-,,,-,,-,+,+,+,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,+,+,,-,-,,,-,-,-,-,-,,,-,-,+,+,+,,,,,,,,,,,+,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,+,+,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,+,+,-,+,+,+,+,-,-,-,-,+,+,+,+,+,+,+,+,-,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/105/835/GCF_900105835.1_genomic.fna.gz
Streptococcus devriesei,GCF_000423725.1,Streptococcaceae,"Streptococcus devriesei DSM 19639 is a microaerophile, mesophilic, Gram-positive animal pathogen that was isolated from teeth of horses.",positive,coccus-shaped,no,-,-,-,-,+,-,-,-,-,-,+,-,-,-,+,+,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/423/725/GCF_000423725.1_genomic.fna.gz
Buttiauxella brennerae,GCF_001654925.1,Enterobacteriaceae,"Buttiauxella brennerae S1/6-571 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from snail.",negative,rod-shaped,no,+,-,-,-,+,-,-,-,-,+,+,-,+,-,+,+,-,-,-,+,-,-,+,+,+,-,"['+/-', '+']",-,+,+,+,+,-,+,-,-,"['-', '+']",-,+,+,"['+/-', '+']",+/-,+,+,+,+,+,+,+,+,+,-,-,+,-,-,"['-', '+']",+,+,"['+/-', '+']",-,-,-,+,-,+,+,+,,,,,,,,,,,+,,,,,,,+,-,,,+,-,,,,,,,,,,,,+,-,+,+,+,+,-,+,-,-,+,+,-,-,-,-,+,-,-,-,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,+,+,-,-,+,+,-,+,-,-,-,+,-,-,+,+,+,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/654/925/GCF_001654925.1_genomic.fna.gz
Staphylococcus nepalensis,GCF_014635045.1,Staphylococcaceae,"Staphylococcus nepalensis CW1 is an aerobe, mesophilic, Gram-positive animal pathogen that was isolated from nasal mucosa of a goat.",positive,coccus-shaped,no,+,+,+,-,-,-,-,-,-,+,+,-,+,+,-,-,-,-,-,"['-', '+']",-,-,-,"['-', '+']",-,-,-,-,-,"['+/-', '+']","['+/-', '+']","['+/-', '+']",-,"['-', '+']",-,-,"['-', '+']",-,-,-,"['-', '+']",-,-,"['+/-', '+']",+/-,-,"['-', '+']","['-', '+']",-,"['+/-', '+']","['+/-', '+']",-,-,-,-,-,"['-', '+']",-,"['-', '+']",-,-,-,-,"['-', '+']",-,"['-', '+']",-,-,,,,,,,,,,,+,,,,,,,+,-,,,+,-,,,,,,,,,,,,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/014/635/045/GCF_014635045.1_genomic.fna.gz
Niallia circulans,GCF_001591585.1,Bacillaceae,"Niallia circulans Ford 26 is an aerobe, spore-forming, mesophilic bacterium that was isolated from soil.",positive,rod-shaped,yes,+,+,+,-,+,-,+,-,+,+,-,+,+,-,+,+,-,+,-,+,-,-,+,"['-', '+']",+,-,"['-', '+']",+,+,+,+,+,-,"['+', '-']",-,"['+', '-']",+,+,-,+,+,-,+,+,+,+,+,"['+', '-']","['-', '+']",+,+,+,+,+,-,+,-,"['+', '-']",+,-,-,-,-,-,-,+,"['-', '+']",-,-,+,-,+,-,+,+,-,-,-,+,,,,,,,+,-,,,-,-,,,,,,,,,,,,+,+,+,+,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,+,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/591/585/GCF_001591585.1_genomic.fna.gz
Mycobacterium szulgai,GCF_002116635.1,Mycobacteriaceae,"Mycobacterium szulgai 25932 is an aerobe, mesophilic, Gram-positive human pathogen that was isolated from cervical adenitis.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,+,,,,,,,-,,,,,,,+,,,-,-,,-,,,,,,-,,,,,,,,,,,,,+/-,+,+,+,-,-,+,-,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/116/635/GCF_002116635.1_genomic.fna.gz
Pseudomonas baetica,GCF_002813455.1,Pseudomonadaceae,"Pseudomonas baetica a390 is an aerobe, mesophilic, Gram-negative animal pathogen that was isolated from the liver of a diseased wedge sole.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,+,,,-,,,-,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,+,,-,-,-,+,-,+,+,+,-,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/813/455/GCF_002813455.1_genomic.fna.gz
Buttiauxella warmboldiae,GCF_003818135.1,Enterobacteriaceae,"Buttiauxella warmboldiae EG 59-like NSW 326 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from snail.",negative,rod-shaped,yes,+,-,+,-,+,-,-,-,-,+,+,-,+,-,+,+,-,-,-,"['+/-', '+']",-,+,+,+,+,-,-,-,+,+,+,+,-,+,-,+,+,-,-,-,+,-,+,+,+,+,+,"['+/-', '-']",-,-,+,-,-,-,+/-,-,-,+,-,-,-,-,+,-,-,+,+,-,,,,,,,,,,,+,,,,,,,+,-,,,-,-,,,,,,,,,,,,+,-,+,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,+,+,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/818/135/GCF_003818135.1_genomic.fna.gz
Pseudomonas taetrolens,GCF_900475285.1,Pseudomonadaceae,"Pseudomonas taetrolens DSM 21104 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from musty egg.",negative,rod-shaped,yes,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,-,-,+,+,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,+,-,+,+,+,,,,,,,,,,,+,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,+,-,-,-,+,+,-,+,+,-,+,+,+,+,+,+,-,+,-,+,-,-,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,+,+,+,+,+,-,+,-,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/475/285/GCF_900475285.1_genomic.fna.gz
Pseudomonas brenneri,GCF_007858285.1,Pseudomonadaceae,"Pseudomonas brenneri 97-391 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from natural mineral water.",negative,rod-shaped,yes,+,+,+,-,+,+,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,,,+,,,+,,+,+,+,+,-,+,-,+,+,-,,-,+,,,-,,-,-,-,-,-,+,,-,-,,,+,-,-,-,-,,,+,+,+,+,-,,,,,,,,,,,-,,,,,,,-,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,+,+,-,-,-,-,+,+,+,-,-,-,-,-,-,+,+,+,-,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/007/858/285/GCF_007858285.1_genomic.fna.gz
